acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-1
alembic 1.8.3-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
amdvlk 2022.Q2.1-1
android-studio 2021.1.1.23-1
aom 3.3.0-1
apparmor 3.0.4-1
arc-gtk-theme 20220405-1
archlinux-contrib 20210710-1
archlinux-keyring 20220424-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 2-2
bash 5.1.016-1
binutils 2.38-4
bison 3.8.2-4
blas 3.10.1-1
blender 17:3.1.2-2
blosc 1.21.1-2
bluez-libs 5.64-2
boost 1.78.0-2
boost-libs 1.78.0-2
bpytop 1.0.68-1
brotli 1.0.9-8
bubblewrap 0.6.1-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.78-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.1-1
clang 13.0.1-2
clex 4.6.patch10-3
cmake 3.23.1-1
compiler-rt 13.0.1-1
coreutils 9.1-1
cryptsetup 2.4.3-2
curl 7.83.0-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
diffutils 3.8-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
draco 1.5.1-2
dxvk-bin 1.10.1-1
e2fsprogs 1.46.5-3
efibootmgr 17-2
efivar 38-2
elixir 1.13.2-1
ell 0.50-1
embree 3.13.3-1
enchant 2.3.3-1
erlang-nox 24.3.2-2
expat 2.4.8-1
fakeroot 1.28-1
fd 8.3.2-1
ffmpeg 2:5.0-7
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
flac 1.3.4-2
flex 2.6.4-3
fmt 8.1.1-2
fontconfig 2:2.14.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
gawk 5.1.1-1
gc 8.2.0-3
gcc 11.2.0-4
gcc-libs 11.2.0-4
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gettext 0.21-2
ghc 9.0.2-1
ghc-libs 9.0.2-1
ghostscript 9.56.1-1
giflib 5.2.1-2
git 2.36.1-1
glew 2.2.0-3
glib-networking 1:2.72.0-1
glib2 2.72.1-1
glib2-docs 2.72.1-1
glibc 2.35-3
glibmm 2.66.4-1
glu 9.0.2-3
gmp 6.2.1-1
gnome-common 3.18.0-4
gnu-free-fonts 20120503-8
gnupg 2.2.35-1
gnutls 3.7.4-2
go 2:1.18.1-1
go-tools 4:0.1.10-2
gobject-introspection 1.72.0-1
gobject-introspection-runtime 1.72.0-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
graphite 1:1.3.14-1
graphviz 3.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gst-plugins-base-libs 1.20.2-1
gstreamer 1.20.2-1
gtest 1.11.0-3
gtk-doc 1.33.2-1
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.6.3-1
gtk2 2.24.33-2
gtk3 1:3.24.33-3
gtkmm 1:2.24.5-4
gts 0.7.6.121130-2
guile 2.2.7-2
gzip 1.12-1
harfbuzz 4.2.1-1
harfbuzz-icu 4.2.1-1
haskell-adjunctions 4.4-306
haskell-aeson 1.5.6.0-99
haskell-alsa-core 0.5.0.1-17
haskell-alsa-mixer 0.3.0-73
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-168
haskell-asn1-parse 0.9.5-168
haskell-asn1-types 0.3.4-147
haskell-assoc 1.0.2-136
haskell-async 2.2.4-50
haskell-attoparsec 0.14.4-15
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-16
haskell-base-orphans 0.8.6-33
haskell-base64-bytestring 1.2.1.0-42
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.11-61
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-165
haskell-blaze-markup 0.8.2.8-71
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-67
haskell-case-insensitive 1.2.1.0-144
haskell-cereal 0.5.8.2-2
haskell-comonad 5.0.8-140
haskell-conduit 1.3.4.2-47
haskell-conduit-extra 1.3.5-225
haskell-connection 0.3.1-192
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-11
haskell-data-default 0.7.1.1-219
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-232
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-43
haskell-dbus 1.2.22-43
haskell-distributive 0.6.2.1-143
haskell-dlist 1.0-154
haskell-extensible-exceptions 0.1.1.4-36
haskell-free 5.1.7-75
haskell-ghc-bignum-orphans 0.1.1-1
haskell-hashable 1.4.0.1-6
haskell-hinotify 0.4.1-112
haskell-hourglass 0.2.12-187
haskell-http 4000.4.0-12
haskell-http-client 0.7.11-14
haskell-http-client-tls 0.3.6.1-6
haskell-http-conduit 2.3.8-181
haskell-http-types 0.12.3-227
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1-17
